,Month,Year,Price,change
189,Jul,2006,56.73,0.55%
190,Aug,2006,59.85,5.50%
191,Sep,2006,58.82,-1.72%
192,Oct,2006,57.03,-3.04%
193,Nov,2006,57.4,0.65%
194,Dec,2006,59.43,3.54%
195,Jan,2007,59.05,-0.64%
196,Feb,2007,57.89,-1.96%
197,Mar,2007,58.41,0.90%
198,Apr,2007,57.18,-2.11%
199,May,2007,55.57,-2.82%
200,Jun,2007,60.44,8.76%
201,Jul,2007,67.81,12.19%
202,Aug,2007,66.62,-1.75%
203,Sep,2007,68.21,2.39%
204,Oct,2007,68.93,1.06%
205,Nov,2007,69.71,1.13%
206,Dec,2007,69.59,-0.17%
207,Jan,2008,73.25,5.26%
208,Feb,2008,75.05,2.46%
209,Mar,2008,80.18,6.84%
210,Apr,2008,75.41,-5.95%
211,May,2008,74.12,-1.71%
212,Jun,2008,77.04,3.94%
213,Jul,2008,77.29,0.32%
214,Aug,2008,78.04,0.97%
215,Sep,2008,73.59,-5.70%
216,Oct,2008,62.3,-15.34%
217,Nov,2008,55.06,-11.62%
218,Dec,2008,55.47,0.74%
219,Jan,2009,57.7,4.02%
220,Feb,2009,55.21,-4.32%
221,Mar,2009,51.5,-6.72%
222,Apr,2009,56.78,10.25%
223,May,2009,61.95,9.11%
224,Jun,2009,61.39,-0.90%
225,Jul,2009,64.8,5.55%
226,Aug,2009,64.26,-0.83%
227,Sep,2009,64.07,-0.30%
228,Oct,2009,66.82,4.29%
229,Nov,2009,71.78,7.42%
230,Dec,2009,76.78,6.97%
231,Jan,2010,77.4,0.81%
232,Feb,2010,80.04,3.41%
233,Mar,2010,85.79,7.18%
234,Apr,2010,88.09,2.68%
235,May,2010,90.07,2.25%
236,Jun,2010,91.68,1.79%
237,Jul,2010,84.15,-8.21%
238,Aug,2010,90.35,7.37%
239,Sep,2010,104.73,15.92%
240,Oct,2010,126.55,20.83%
241,Nov,2010,155.47,22.85%
242,Dec,2010,168.22,8.20%
243,Jan,2011,178.93,6.37%
244,Feb,2011,213.18,19.14%
245,Mar,2011,229.67,7.74%
246,Apr,2011,216.62,-5.68%
247,May,2011,165.52,-23.59%
248,Jun,2011,160.65,-2.94%
249,Jul,2011,149.25,-7.10%
250,Aug,2011,114.1,-23.55%
251,Sep,2011,116.65,2.23%
252,Oct,2011,110.61,-5.18%
253,Nov,2011,104.68,-5.36%
254,Dec,2011,95.45,-8.82%
255,Jan,2012,101.11,5.93%
256,Feb,2012,100.75,-0.36%
257,Mar,2012,99.5,-1.24%
258,Apr,2012,100.1,0.60%
259,May,2012,88.53,-11.56%
260,Jun,2012,82.18,-7.17%
261,Jul,2012,83.97,2.18%
262,Aug,2012,84.4,0.51%
263,Sep,2012,84.15,-0.30%
264,Oct,2012,81.95,-2.61%
265,Nov,2012,80.87,-1.32%
266,Dec,2012,83.37,3.09%
267,Jan,2013,85.51,2.57%
268,Feb,2013,89.71,4.91%
269,Mar,2013,94.45,5.28%
270,Apr,2013,92.54,-2.02%
271,May,2013,92.62,0.09%
272,Jun,2013,93.08,0.50%
273,Jul,2013,92.62,-0.49%
274,Aug,2013,92.71,0.10%
275,Sep,2013,90.09,-2.83%
276,Oct,2013,89.35,-0.82%
277,Nov,2013,84.65,-5.26%
278,Dec,2013,87.49,3.35%
279,Jan,2014,90.96,3.97%
280,Feb,2014,94.05,3.40%
281,Mar,2014,96.95,3.08%
282,Apr,2014,94.2,-2.84%
283,May,2014,92.71,-1.58%
284,Jun,2014,90.9,-1.95%
285,Jul,2014,83.84,-7.77%
286,Aug,2014,74,-11.74%
287,Sep,2014,73.38,-0.84%
288,Oct,2014,70.34,-4.14%
289,Nov,2014,67.53,-3.99%
290,Dec,2014,68.3,1.14%
291,Jan,2015,67.35,-1.39%
292,Feb,2015,69.84,3.70%
293,Mar,2015,69.35,-0.70%
294,Apr,2015,71.7,3.39%
295,May,2015,72.86,1.62%
296,Jun,2015,72.35,-0.70%
297,Jul,2015,72.35,0.00%
298,Aug,2015,71.82,-0.73%
299,Sep,2015,68.74,-4.29%
300,Oct,2015,69.03,0.42%
